cds,record_type,school_name,district_name,county_name,enrollment_9_12,number_of_test_takers,avg_reading_score,avg_math_score,avg_writing_score,number_scores_gte_1500,percent_scores_gte_1500
01611760130435,S,Vista Alternative,Fremont Unified,Alameda,63,1,*,*,*,*,*
01611760130534,S,Circle of Independent Learning,Fremont Unified,Alameda,121,4,*,*,*,*,*
01611760134270,S,Irvington High,Fremont Unified,Alameda,2179,549,576,626,596,458,83.42
01611760134452,S,John F. Kennedy High,Fremont Unified,Alameda,1410,263,498,516,502,120,45.63
01611760135244,S,Mission San Jose High,Fremont Unified,Alameda,2167,620,634,688,654,577,93.06
01611760138693,S,Washington High,Fremont Unified,Alameda,1835,360,542,575,544,247,68.61
01611920000000,D,,Hayward Unified,Alameda,6132,1002,441,453,450,249,24.85
01611920108670,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,471,163,452,486,464,50,30.67
01611920113902,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,466,162,443,447,447,38,23.46
01611920127944,S,Silver Oak High Public Montessori Charte,Hayward Unified,Alameda,60,0,NA,NA,NA,NA,NA
01611920133009,S,Brenkwitz High,Hayward Unified,Alameda,234,2,*,*,*,*,*
01611920133629,S,Hayward High,Hayward Unified,Alameda,1637,232,435,440,449,53,22.84
01611920135319,S,Mt. Eden High,Hayward Unified,Alameda,1865,271,455,467,459,84,31.00
01611920138339,S,Tennyson High,Hayward Unified,Alameda,1339,172,413,424,426,24,13.95
01612000000000,D,,Livermore Valley Joint Unified,Alameda,3992,638,539,555,534,437,68.50
01612000130393,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,112,7,*,*,*,*,*
01612000133397,S,Granada High,Livermore Valley Joint Unified,Alameda,1968,358,540,566,534,251,70.11
01612000134536,S,Livermore High,Livermore Valley Joint Unified,Alameda,1750,273,536,541,533,180,65.93
01612340000000,D,,Newark Unified,Alameda,1975,341,490,510,498,166,48.68
01612340130054,S,Newark Memorial High,Newark Unified,Alameda,1848,341,490,510,498,166,48.68
01612340130484,S,Crossroads High (Alternative),Newark Unified,Alameda,35,0,NA,NA,NA,NA,NA
01612420000000,D,,New Haven Unified,Alameda,4186,737,494,526,494,366,49.66
01612420110460,S,Core Learning Academy at Conley-Caraball,New Haven Unified,Alameda,163,1,*,*,*,*,*
01612420126763,S,Decoto School for Independent Study,New Haven Unified,Alameda,131,0,NA,NA,NA,NA,NA
01612420134668,S,James Logan High,New Haven Unified,Alameda,3875,736,494,526,493,365,49.59
01612590000000,D,,Oakland Unified,Alameda,12096,1988,450,465,450,627,31.54
01612590100065,S,Oakland Unity High,Oakland Unified,Alameda,292,65,388,401,404,9,13.85
01612590100701,S,MetWest High,Oakland Unified,Alameda,141,48,401,386,385,5,10.42
01612590106906,S,Bay Area Technology,Oakland Unified,Alameda,108,23,446,455,403,6,26.09
01612590108944,S,Lighthouse Community Charter High,Oakland Unified,Alameda,236,52,430,466,437,11,21.15
01612590110189,S,McClymonds High,Oakland Unified,Alameda,275,43,343,348,353,0,0.00
01612590111856,S,American Indian Public High,Oakland Unified,Alameda,149,65,487,567,498,41,63.08
01612590112797,S,Coliseum College Prep Academy,Oakland Unified,Alameda,247,33,402,411,431,3,9.09
01612590114868,S,Oakland Charter High,Oakland Unified,Alameda,266,90,523,598,528,62,68.89
01612590115238,S,ARISE High,Oakland Unified,Alameda,246,64,354,371,365,0,0
01612590115386,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,73,0,NA,NA,NA,NA,NA
01612590115667,S,Oakland International High,Oakland Unified,Alameda,353,24,348,395,363,1,4.17
01612590118224,S,Aspire Golden State College Preparatory,Oakland Unified,Alameda,248,67,371,382,379,3,4.48
01612590119859,S,Gateway to College at Laney College,Oakland Unified,Alameda,96,0,NA,NA,NA,NA,NA
01612590125161,S,Castlemont High,Oakland Unified,Alameda,564,80,372,359,377,5,6.25
01612590125716,S,Fremont High,Oakland Unified,Alameda,727,91,384,387,384,4,4.40
01612590126748,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,303,8,*,*,*,*,*
01612590130146,S,Rudsdale Continuation,Oakland Unified,Alameda,149,1,*,*,*,*,*
01612590130179,S,Street Academy (Alternative),Oakland Unified,Alameda,88,5,*,*,*,*,*
01612590130575,S,LIFE Academy,Oakland Unified,Alameda,284,79,399,409,394,14,17.72
01612590130617,S,"Oakland Military Institute, College Prep",Oakland Unified,Alameda,375,92,425,447,426,18,19.57
01612590130666,S,Aspire Lionel Wilson College Preparatory,Oakland Unified,Alameda,307,95,402,431,426,14,14.74
01612590135905,S,Oakland High,Oakland Unified,Alameda,1552,270,419,450,422,50,18.52
01612590136051,S,Oakland Technical High,Oakland Unified,Alameda,2092,457,511,521,505,250,54.70
01612590137943,S,Skyline High,Oakland Unified,Alameda,1781,257,462,466,457,86,33.46
01612593030772,S,Oakland School for the Arts,Oakland Unified,Alameda,383,102,528,474,519,49,48.04
01612596066450,S,Madison Park Academy 6-12,Oakland Unified,Alameda,83,0,NA,NA,NA,NA,NA
01612596114011,S,"Independent Study, Sojourner Truth",Oakland Unified,Alameda,198,9,*,*,*,*,*
01612750000000,D,,Piedmont City Unified,Alameda,844,221,606,615,618,202,91.40
01612750130286,S,Millennium High Alternative,Piedmont City Unified,Alameda,69,13,465,467,451,7,53.85
01612750136515,S,Piedmont High,Piedmont City Unified,Alameda,770,208,615,624,629,195,93.75
01612910000000,D,,San Leandro Unified,Alameda,2758,496,465,470,461,172,34.68
01612910134528,S,Lincoln High (Continuation),San Leandro Unified,Alameda,108,1,*,*,*,*,*
01612910137588,S,San Leandro High,San Leandro Unified,Alameda,2630,495,465,470,461,172,34.75
01613090000000,D,,San Lorenzo Unified,Alameda,4155,759,469,492,467,272,35.84
01613090111799,S,East Bay Arts High,San Lorenzo Unified,Alameda,275,29,412,430,423,5,17.24
01613090114421,S,KIPP King Collegiate High,San Lorenzo Unified,Alameda,498,178,486,484,490,73,41.01
01613090130849,S,Arroyo High,San Lorenzo Unified,Alameda,1744,336,493,530,483,161,47.92
01613090137745,S,Royal Sunset (Continuation),San Lorenzo Unified,Alameda,169,2,*,*,*,*,*
01613090137810,S,San Lorenzo High,San Lorenzo Unified,Alameda,1457,214,426,450,428,33,15.42
01750930000000,D,,Dublin Unified,Alameda,1973,432,529,559,528,286,66.20
01750930132704,S,Dublin High,Dublin Unified,Alameda,1889,432,529,559,528,286,66.20
