OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
700369,a757ae09,09/05/2013 07:00:00 AM,Thursday,Sep,5,2013,7,9,5,2013,BURGLARY,FELONY,G,84,BROOKLYN,N.Y. POLICE DEPT,988276,189929,"(40.6879953000001, -73.98548448)"
700370,3414fffa,09/05/2013 07:30:00 AM,Thursday,Sep,5,2013,7,9,7,2013,FELONY ASSAULT,FELONY,A,115,QUEENS,N.Y. POLICE DEPT,1019899,215112,"(40.7570456070001, -73.871324865)"
700371,8397528c,09/05/2013 07:45:00 AM,Thursday,Sep,5,2013,7,9,5,2013,BURGLARY,FELONY,D,67,BROOKLYN,N.Y. POLICE DEPT,999809,172040,"(40.638881198, -73.943940035)"
700372,1625f9ca,09/05/2013 07:50:00 AM,Thursday,Sep,5,2013,7,9,5,2013,BURGLARY,FELONY,N,73,BROOKLYN,N.Y. POLICE DEPT,1010991,180092,"(40.660955481, -73.9036177199999)"
700373,d999d448,09/05/2013 07:55:00 AM,Thursday,Sep,5,2013,7,9,5,2013,BURGLARY,FELONY,C,68,BROOKLYN,N.Y. POLICE DEPT,981287,168332,"(40.62871669, -74.010675947)"
700374,aa12b71a,09/05/2013 07:56:00 AM,Thursday,Sep,5,2013,7,9,11,2013,GRAND LARCENY,FELONY,B,66,BROOKLYN,N.Y. POLICE DEPT,990374,163503,"(40.6154604720001, -73.977943495)"
700375,e3550777,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,11,7,2013,GRAND LARCENY,FELONY,H,120,STATEN ISLAND,N.Y. POLICE DEPT,958429,171508,"(40.6373969950001, -74.093036313)"
700376,47f1d8da,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,9,5,2013,ROBBERY,FELONY,P,79,BROOKLYN,N.Y. HOUSING POLICE,995302,190524,"(40.6896224540001, -73.960149132)"
700377,3501271e,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,9,5,2013,GRAND LARCENY OF MOTOR VEHICLE,FELONY,J,90,BROOKLYN,N.Y. POLICE DEPT,1001034,199057,"(40.713034527, -73.9394589029999)"
700378,e469afea,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,9,9,2013,GRAND LARCENY,FELONY,H,94,BROOKLYN,N.Y. POLICE DEPT,995462,200548,"(40.717135781, -73.9595555019999)"
700379,e79ffb82,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,9,9,2013,GRAND LARCENY,FELONY,H,107,QUEENS,N.Y. POLICE DEPT,1043833,208682,"(40.7392680340001, -73.7849913169999)"
700380,b66c57c9,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,10,9,2013,GRAND LARCENY,FELONY,B,17,MANHATTAN,N.Y. POLICE DEPT,989692,212509,"(40.749971219, -73.9803604109999)"
700381,7940146f,09/05/2013 08:00:00 AM,Thursday,Sep,5,2013,8,10,28,2013,GRAND LARCENY,FELONY,A,19,MANHATTAN,N.Y. POLICE DEPT,993407,218724,"(40.7670267410001, -73.9669439259999)"
700382,c10dc29b,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,2,25,2012,BURGLARY,FELONY,K,122,STATEN ISLAND,N.Y. POLICE DEPT,945594,149490,"(40.5769154390001, -74.139155624)"
700383,1fd51d31,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,3,31,2012,GRAND LARCENY,FELONY,B,63,BROOKLYN,N.Y. POLICE DEPT,1007947,158836,"(40.602620947, -73.914663965)"
700384,19c335f,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,81,BROOKLYN,N.Y. POLICE DEPT,1003593,190280,"(40.6889384950001, -73.930253395)"
700385,69a84851,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,2,22,2012,GRAND LARCENY,FELONY,A,114,QUEENS,N.Y. POLICE DEPT,1009645,213978,"(40.753968462, -73.908341365)"
700386,29f6eb39,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,BURGLARY,FELONY,J,114,QUEENS,N.Y. POLICE DEPT,1003713,216924,"(40.7620695250001, -73.92974364)"
700387,5f45652a,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,3,3,2012,GRAND LARCENY,FELONY,I,111,QUEENS,N.Y. POLICE DEPT,1042023,221265,"(40.773817078, -73.791414704)"
700388,d9e17d9a,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,3,13,2012,GRAND LARCENY,FELONY,E,25,MANHATTAN,N.Y. POLICE DEPT,1001525,233875,"(40.808600041, -73.937598323)"
700389,8ca95242,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,3,5,2012,GRAND LARCENY,FELONY,B,34,MANHATTAN,N.Y. POLICE DEPT,1001676,249161,"(40.8505554340001, -73.937013157)"
700390,e1461b64,02/21/2012 10:00:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,GRAND LARCENY,FELONY,H,50,BRONX,N.Y. POLICE DEPT,1009185,262140,"(40.886160809, -73.9098227269999)"
700391,864f1a5b,02/21/2012 10:05:00 AM,Tuesday,Feb,21,2012,10,2,21,2012,ROBBERY,FELONY,G,67,BROOKLYN,N.Y. POLICE DEPT,1000401,176197,"(40.6502902070001, -73.94179702)"
