occurrence_date,object_id,identifier,compstat_date,offense,sector,precinct,borough,jurisdiction,xcoord,ycoord,latitude,longitude
2011-02-28 09:30:00,700143,c0d04299,2011-02-28,GRAND LARCENY OF MOTOR VEHICLE,E,109,QUEENS,N.Y. POLICE DEPT,1030197,213404,40.7523100720001,-73.834165545
2011-02-28 09:30:00,700144,99118278,2011-03-30,FELONY ASSAULT,A,41,BRONX,N.Y. POLICE DEPT,1017933,232218,40.804004719,-73.8783354609999
2011-02-28 09:30:00,700145,623836fd,2011-03-01,GRAND LARCENY,H,52,BRONX,N.Y. POLICE DEPT,1014994,256310,40.870140948,-73.888840951
2011-02-28 09:39:00,700146,c3b2341,2011-02-28,BURGLARY,F,52,BRONX,N.Y. POLICE DEPT,1014378,255938,40.8691220470001,-73.89106988
2011-02-28 09:40:00,700147,8c11f9f6,2011-02-28,BURGLARY,E,69,BROOKLYN,N.Y. POLICE DEPT,1011313,169770,40.6326228560001,-73.902498532
2011-02-28 09:40:00,700148,d194e7b8,2011-02-28,BURGLARY,D,33,MANHATTAN,N.Y. POLICE DEPT,1000669,247149,40.845035017,-73.940658001
2011-02-28 10:00:00,700149,291e5d93,2011-03-28,GRAND LARCENY,D,110,QUEENS,N.Y. POLICE DEPT,1019104,211659,40.747571174,-73.8742123439999
2011-02-28 10:00:00,700150,c904c597,2011-02-28,BURGLARY,M,109,QUEENS,N.Y. POLICE DEPT,1026969,219102,40.7679657840001,-73.845780092
2011-02-28 10:00:00,700151,f1e248ae,2011-03-07,GRAND LARCENY,J,24,MANHATTAN,N.Y. POLICE DEPT,992084,230301,40.798803805,-73.971706566
2011-02-28 10:00:00,700152,c304cdc8,2011-03-01,FELONY ASSAULT,B,48,BRONX,N.Y. POLICE DEPT,1016309,247659,40.846391886,-73.88412771
2011-02-28 10:20:00,700153,6fef1ed,2011-03-02,GRAND LARCENY,B,10,MANHATTAN,N.Y. POLICE DEPT,984276,211026,40.7459024300001,-73.999907616
2011-02-28 10:30:00,700154,505f898a,2011-03-01,GRAND LARCENY OF MOTOR VEHICLE,C,9,MANHATTAN,N.Y. POLICE DEPT,987892,202854,40.7234715500001,-73.9868621209999
2011-02-28 10:30:00,700155,aa73a27f,2011-02-28,BURGLARY,E,110,QUEENS,N.Y. POLICE DEPT,1018809,208610,40.739203595,-73.8752926719999
2011-02-28 10:30:00,700156,dda1f8dd,2011-03-04,GRAND LARCENY,J,109,QUEENS,N.Y. POLICE DEPT,1031963,219018,40.7677096840001,-73.8277517179999
2011-02-28 11:00:00,700157,f6129869,2011-02-28,BURGLARY,E,83,BROOKLYN,N.Y. POLICE DEPT,1005490,193253,40.6970943420001,-73.923403718
2011-02-28 11:00:00,700158,762e183d,2011-02-28,GRAND LARCENY,E,17,MANHATTAN,N.Y. POLICE DEPT,992223,215460,40.7580690460001,-73.971222133
